names,code
S.S. Lazio | Lazio,ITA
Lech Poznań,POL
Leeds United | Leeds,ENG
Legia Warszawa | Legia,POL
Leicester City FC | Leicester,ENG
RB Leipzig | Leipzig,GER
RC Lens | Lens,FRA
FK Leotar | Leotar,BIH
FCI Levadia Tallinn | Levadia,EST
Bayer 04 Leverkusen | Leverkusen,GER
PFC Levski Sofia | Levski,BUL
FC Slovan Liberec | Liberec,CZE
FK Liepāja | Liepāja,LVA
SK Liepājas Metalurgs | Liepājas Metalurgs,LVA
K. Lierse SK | Lierse,BEL
LOSC Lille | Lille,FRA
Lillestrøm SK | Lillestrøm,NOR
Limerick FC | Limerick,IRL
Lincoln Red Imps FC | Lincoln Red Imps,GIB
Linfield FC | Linfield,NIR
FC Linz | Linz,AUT
PFC Litex Lovech | Litex,BUL
Liverpool FC | Liverpool,ENG
Llanelli AFC | Llanelli,WAL
FC Lokomotiv Moskva | Lokomotiv Moskva,RUS
PFC Lokomotiv Plovdiv | Lokomotiv Plovdiv,BUL
FC Lokomotiv Sofia 1929 | Lokomotiv Sofia,BUL
NK Lokomotiva Zagreb | Lokomotiva Zagreb,CRO
PFC Ludogorets 1945 | Ludogorets,BUL
FC Lugano | Lugano,SUI
FC Lusitans | Lusitans,AND
FC Luzern | Luzern,SUI
FK Lyn | Lyn,NOR
Lyngby BK | Lyngby,DEN
Olympique Lyonnais | Lyon,FRA
ŁKS Łódź | ŁKS,POL
FC Levadia Maardu | Maardu,EST
Maccabi Haifa FC | Maccabi Haifa,ISR
Maccabi Tel Aviv FC | Maccabi Tel Aviv,ISR
1. FC Magdeburg | Magdeburg,GER
FK Makedonija GP Skopje | Makedonija,MKD
Málaga CF | Málaga,ESP
RCD Mallorca | Mallorca,ESP
Malmö FF | Malmö,SWE
Manchester City | Man City,ENG
Manchester United | Man United,ENG
NK Maribor | Maribor,SVN
IFK Mariehamn | Mariehamn,FIN
Marsaxlokk FC | Marsaxlokk,MLT
Olympique de Marseille | Marseille,FRA
KV Mechelen | Mechelen,BEL
FC Metalist Kharkiv | Metalist,UKR
FC Metalurgi Rustavi | Metalurgi Rustavi,GEO
FC Metz | Metz,FRA
FC Midtjylland | Midtjylland,DEN
AC Milan | Milan,ITA
FC Milsami Orhei | Milsami,MDA
FK Mladá Boleslav | Mladá Boleslav,CZE
FK Modriča | Modriča,BIH
FK Mogren | Mogren,MNE
Molde FK | Molde,NOR
AS Monaco FC | Monaco,FRA
Borussia Mönchengladbach | Mönchengladbach,GER
Montpellier Hérault SC | Montpellier,FRA
Moss FK | Moss,NOR
Motherwell FC | Motherwell,SCO
MTK Budapest | MTK,HUN
NŠ Mura | Mura,SVN
SS Murata | Murata,SMR
Myllykosken Pallo -47 | MYPA,FIN
FC Nantes | Nantes,FRA
SSC Napoli | Napoli,ITA
Neftçi PFK | Neftçi,AZE
Newcastle United FC | Newcastle,ENG
OGC Nice | Nice,FRA
FC Nordsjælland | Nordsjælland,DEN
FC Norma Tallinn | Norma,EST
IFK Norrköping FK | Norrköping,SWE
Nottingham Forest FC | Nottm Forest,ENG
NSÍ Runavík | NSÍ,FRO
1. FC Nürnberg | Nürnberg,GER
Odense BK | OB,DEN
NK Olimpija Ljubljana | Olimpija Ljubljana,SVN
Olympiacos FC | Olympiacos,GRE
Olympiakos Nicosia FC | Olympiakos,CYP
AC Omonoia | Omonoia,CYP
FC Ordabasy Shymkent | Ordabasy,KAZ
CA Osasuna | Osasuna,ESP
SC Oţelul Galaţi | Oţelul,ROU
AC Oulu | Oulu,FIN
Örgryte IS | Örgryte,SWE
Östers IF | Öster,SWE
FC Paços de Ferreira | Paços Ferreira,POR
Panathinaikos FC | Panathinaikos,GRE
FK Panevėžys | Panevėžys,LTU
PAOK FC | PAOK,GRE
Paris Saint-Germain | Paris,FRA
Parma FC | Parma,ITA
FK Partizan | Partizan,SRB
FK Partizani | Partizani,ALB
FC Petrocub-Hincesti | Petrocub,MDA
FC Petrolul Ploieşti | Petrolul,ROU
FC Petržalka | Petržalka,SVK
Pezoporikos FC | Pezoporikos,CYP
Enosis Pezoporikou Amol FC | Pezoporikou,CYP
Piast Gliwice | Piast,POL
FK Pobeda | Pobeda,MKD
KS Polonia Bytom | Polonia Bytom,POL
KSP Polonia Warszawa | Polonia Warszawa,POL
Portadown FC | Portadown,NIR
FC Prishtina | Prishtina,KOS
FC Progrès Niederkorn | Progrès,LUX
PSV Eindhoven | PSV,NED
FC Pyunik | Pyunik,ARM
Qarabağ FK | Qarabağ,AZE
Rabat Ajax FC | Rabat,MLT
FK Rabotnicki | Rabotnicki,MKD
Raków Częstochowa | Raków,POL
Rànger's FC | Rànger's,AND
Rangers FC | Rangers,SCO
Rapid JC | Rapid,NED
FC Rapid Bucureşti | Rapid Bucureşti,ROU
SK Rapid Wien | Rapid Wien,AUT
Real Betis Balompié | Real Betis,ESP
Real Madrid CF | Real Madrid,ESP
Real Sociedad de Fútbol | Real Sociedad,ESP
Stade de Reims | Reims,FRA
FC Reipas | Reipas,FIN
Stade Rennais FC | Rennes,FRA
KF Renova | Renova,MKD
FC RFS | RFS,LVA
Rhyl FC | Rhyl,WAL
Riga FC | Riga,LVA
HNK Rijeka | Rijeka,CRO
