names,code
FC Lorient | Lorient,FRA
FK Lovćen | Lovćen,MNE
PFC Ludogorets 1945 | Ludogorets,BUL
KS Luftëtari | Luftëtari,ALB
FC Lugano | Lugano,SUI
FC Lusitans | Lusitans,AND
FC Luzern | Luzern,SUI
FK Lyn | Lyn,NOR
Lyngby BK | Lyngby,DEN
Olympique Lyonnais | Lyon,FRA
ŁKS Łódź | ŁKS,POL
Maccabi Netanya FC | M. Netanya,ISR
Maccabi Petah Tikva FC | M. Petah Tikva,ISR
FC Levadia Maardu | Maardu,EST
Maccabi Haifa FC | Maccabi Haifa,ISR
Maccabi Tel Aviv FC | Maccabi Tel Aviv,ISR
1. FC Magdeburg | Magdeburg,GER
1. FSV Mainz 05 | Mainz,GER
FK Makedonija GP Skopje | Makedonija,MKD
Málaga CF | Málaga,ESP
RCD Mallorca | Mallorca,ESP
Malmö FF | Malmö,SWE
Manchester City | Man City,ENG
Manchester United | Man United,ENG
PFC Marek Dupnitsa | Marek,BUL
FC Margveti Zestafoni | Margveti,GEO
NK Maribor | Maribor,SVN
IFK Mariehamn | Mariehamn,FIN
CS Marítimo | Marítimo,POR
FC Mariupol | Mariupol,UKR
Marsaxlokk FC | Marsaxlokk,MLT
Olympique de Marseille | Marseille,FRA
SV Mattersburg | Mattersburg,AUT
FK Mažeikiai | Mažeikiai,LTU
KV Mechelen | Mechelen,BEL
FC Metalist Kharkiv | Metalist,UKR
FK Metalurg Skopje | Metalurg Skopje,MKD
FC Metalurgi Rustavi | Metalurgi Rustavi,GEO
FC Metalurh Donetsk | Metalurh Donetsk,UKR
FC Metalurh Zaporizhya | Metalurh Zaporizhya,UKR
FC Metz | Metz,FRA
Middlesbrough FC | Middlesbrough,ENG
FC Midtjylland | Midtjylland,DEN
FC Mika | Mika,ARM
AC Milan | Milan,ITA
FK Milano | Milano,MKD
Millwall FC | Millwall,ENG
FC Milsami Orhei | Milsami,MDA
FC Minsk | Minsk,BLR
Mjøndalen IF | Mjøndalen,NOR
MKT Araz,AZE
FK Mladá Boleslav | Mladá Boleslav,CZE
FK Mladost Lučani | Mladost Lučani,SRB
FK Modriča | Modriča,BIH
FK Mogren | Mogren,MNE
Molde FK | Molde,NOR
AS Monaco FC | Monaco,FRA
Borussia Mönchengladbach | Mönchengladbach,GER
FC Mondercange | Mondercange,LUX
Montpellier Hérault SC | Montpellier,FRA
FC Moskva | Moskva,RUS
Moss FK | Moss,NOR
Motherwell FC | Motherwell,SCO
R. Excelsior Mouscron | Mouscron,BEL
MP Mikkeli | MP,FIN
MTK Budapest | MTK,HUN
NŠ Mura | Mura,SVN
SS Murata | Murata,SMR
Myllykosken Pallo -47 | MYPA,FIN
NAC Breda | NAC,NED
CD Nacional | Nacional,POR
Næstved BK | Næstved,DEN
FC Naftan Novopolotsk | Naftan,BLR
PFC Naftex Burgas | Naftex,BUL
AS Nancy-Lorraine | Nancy,FRA
FC Nantes | Nantes,FRA
SSC Napoli | Napoli,ITA
FK Napredak | Napredak,SRB
ND Mura 05,SVN
Neath FC | Neath,WAL
NEC Nijmegen | NEC,NED
Neftçi PFK | Neftçi,AZE
FC Neman Grodno | Neman,BLR
Newcastle United FC | Newcastle,ENG
Newtown AFC | Newtown,WAL
OGC Nice | Nice,FRA
FC Nistru Otaci | Nistru,MDA
FC Nitra | Nitra,SVK
NK Orašje,BIH
FC Noah | Noah,ARM
FC Nordsjælland | Nordsjælland,DEN
IFK Norrköping FK | Norrköping,SWE
Norwich City FC | Norwich,ENG
Nottingham Forest FC | Nottm Forest,ENG
NSÍ Runavík | NSÍ,FRO
1. FC Nürnberg | Nürnberg,GER
Odense BK | OB,DEN
Odds BK | Odd,NOR
MKS Odra Wodzisław Śląski | Odra Wodzisław,POL
OFI Crete FC | OFI,GRE
OFK Beograd,SRB
FC Okzhetpes Kokshetau | Okzhetpes,KAZ
FC Olexandriya | Olexandriya,UKR
FK Olimpic Sarajevo | Olimpic Sarajevo,BIH
NK Olimpija Ljubljana | Olimpija Ljubljana,SVN
FC Olimpik Donetsk | Olimpik Donetsk,UKR
Olimpik-Şüvälan PFK | Olimpik-Şüvälan,AZE
JFK Olimps/RFS | Olimps,LVA
SK Sigma Olomouc | Olomouc,CZE
Olympiacos FC | Olympiacos,GRE
Olympiacos Volou FC | Olympiacos Volou,GRE
Olympiakos Nicosia FC | Olympiakos,CYP
AC Omonoia | Omonoia,CYP
KV Oostende | Oostende,BEL
Odra Opole | Opole,POL
FC Ordabasy Shymkent | Ordabasy,KAZ
Orduspor,TUR
CA Osasuna | Osasuna,ESP
NK Osijek | Osijek,CRO
Osmanlıspor,TUR
SC Oţelul Galaţi | Oţelul,ROU
Real Oviedo | Oviedo,ESP
Örebro SK | Örebro,SWE
Örgryte IS | Örgryte,SWE
Östers IF | Öster,SWE
Östersunds FK | Östersund,SWE
FC Paços de Ferreira | Paços Ferreira,POR
Pafos FC | Pafos,CYP
Paide Linnameeskond | Paide,EST
Paksi FC | Paks,HUN
US Città di Palermo | Palermo,ITA
Panahaiki FC | Panahaiki,GRE
Panathinaikos FC | Panathinaikos,GRE
CS Pandurii Târgu Jiu | Pandurii,ROU
FK Panevėžys | Panevėžys,LTU
Panionios GSS | Panionios,GRE
PAOK FC | PAOK,GRE
Lombard Pápa TFC | Pápa,HUN
Enosis Neon Paralimni FC | Paralimni,CYP
Paris Saint-Germain | Paris,FRA
Parma FC | Parma,ITA
Partick Thistle FC | Partick,SCO
FK Partizan | Partizan,SRB
FC Partizan Minsk | Partizan Minsk,BLR
FK Partizani | Partizani,ALB
FC Pasching | Pasching,AUT
Pécsi MFC | Pécs,HUN
FK Pelister | Pelister,MKD
SS Pennarossa | Pennarossa,SMR
AC Perugia | Perugia,ITA
FC Petrocub-Hincesti | Petrocub,MDA
FC Petrolul Ploieşti | Petrolul,ROU
OFK Petrovac | Petrovac,MNE
FC Petržalka | Petržalka,SVK
Pezoporikos FC | Pezoporikos,CYP
Piast Gliwice | Piast,POL
FC Pirin Blagoevgrad | Pirin,BUL
FK Pobeda | Pobeda,MKD
MKS Pogoń Szczecin | Pogoń,POL
KSP Polonia Warszawa | Polonia Warszawa,POL
Port Talbot Town FC | Port Talbot,WAL
Portadown FC | Portadown,NIR
Portimonense SC | Portimonense,POR
Portsmouth FC | Portsmouth,ENG
Prestatyn Town FC | Prestatyn,WAL
1. FK Příbram | Příbram,CZE
NK Primorje | Primorje,SVN
CE Principat | Principat,AND
FC Prishtina | Prishtina,KOS
FC Progrès Niederkorn | Progrès,LUX
PSV Eindhoven | PSV,NED
FK Matador Púchov | Púchov,SVK
Puskás Akadémia FC | Puskás Akadémia,HUN
FC Pyunik | Pyunik,ARM
Qarabağ FK | Qarabağ,AZE
Queens Park Rangers FC | QPR,ENG
Queen of the South FC | Queen of the South,SCO
Rabat Ajax FC | Rabat,MLT
FK Rabotnicki | Rabotnicki,MKD
Real Racing Club | Racing,ESP
